Age,Attrition,BusinessTravel,Department,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DistanceFromHome
41,1,Travel_Rarely,Sales,Life Sciences,2,Female,3,2,4,Single,5993,Yes,8,1,6,4,0,5,1
49,0,Travel_Frequently,Research & Development,Life Sciences,3,Male,2,2,2,Married,5130,No,10,3,10,7,1,7,8
37,1,Travel_Rarely,Research & Development,Other,4,Male,2,1,3,Single,2090,Yes,7,3,0,0,0,0,2
33,0,Travel_Frequently,Research & Development,Life Sciences,4,Female,3,1,3,Married,2909,Yes,8,3,8,7,3,0,3
27,0,Travel_Rarely,Research & Development,Medical,1,Male,3,1,2,Married,3468,No,6,3,2,2,2,2,2
32,0,Travel_Frequently,Research & Development,Life Sciences,4,Male,3,1,4,Single,3068,No,8,2,7,7,3,6,2
59,0,Travel_Rarely,Research & Development,Medical,3,Female,4,1,1,Married,2670,Yes,12,2,1,0,0,0,3
30,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,3,1,3,Divorced,2693,No,1,3,1,0,0,0,24
38,0,Travel_Frequently,Research & Development,Life Sciences,4,Male,2,3,3,Single,9526,No,10,3,9,7,1,8,23
36,0,Travel_Rarely,Research & Development,Medical,3,Male,3,2,3,Married,5237,No,17,2,7,7,7,7,27
35,0,Travel_Rarely,Research & Development,Medical,1,Male,4,1,2,Married,2426,No,6,3,5,4,0,3,16
29,0,Travel_Rarely,Research & Development,Life Sciences,4,Female,2,2,3,Single,4193,Yes,10,3,9,5,0,8,15
31,0,Travel_Rarely,Research & Development,Life Sciences,1,Male,3,1,3,Divorced,2911,No,5,2,5,2,4,3,26
34,0,Travel_Rarely,Research & Development,Medical,2,Male,3,1,4,Divorced,2661,No,3,3,2,2,1,2,19
28,1,Travel_Rarely,Research & Development,Life Sciences,3,Male,2,1,3,Single,2028,Yes,6,3,4,2,0,3,24
29,0,Travel_Rarely,Research & Development,Life Sciences,2,Female,4,3,1,Divorced,9980,No,10,3,10,9,8,8,21
32,0,Travel_Rarely,Research & Development,Life Sciences,1,Male,4,1,2,Divorced,3298,Yes,7,2,6,2,0,5,5
22,0,Non-Travel,Research & Development,Medical,4,Male,4,1,4,Divorced,2935,Yes,1,2,1,0,0,0,16
53,0,Travel_Rarely,Sales,Life Sciences,1,Female,2,4,4,Married,15427,No,31,3,25,8,3,7,2
38,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,3,1,4,Single,3944,Yes,6,3,3,2,1,2,2
24,0,Non-Travel,Research & Development,Other,1,Female,4,2,3,Divorced,4011,No,5,2,4,2,1,3,11
36,1,Travel_Rarely,Sales,Life Sciences,3,Male,2,1,1,Single,3407,No,10,3,5,3,0,3,9
34,0,Travel_Rarely,Research & Development,Life Sciences,1,Female,3,3,2,Single,11994,No,13,3,12,6,2,11,7
21,0,Travel_Rarely,Research & Development,Life Sciences,3,Male,3,1,4,Single,1232,No,0,3,0,0,0,0,15
34,1,Travel_Rarely,Research & Development,Medical,2,Male,3,1,1,Single,2960,No,8,3,4,2,1,3,6
53,0,Travel_Rarely,Research & Development,Other,3,Female,3,5,3,Divorced,19094,No,26,2,14,13,4,8,5
32,1,Travel_Frequently,Research & Development,Life Sciences,2,Female,1,1,1,Single,3919,Yes,10,3,10,2,6,7,16
42,0,Travel_Rarely,Sales,Marketing,3,Male,3,2,2,Married,6825,No,10,3,9,7,4,2,8
44,0,Travel_Rarely,Research & Development,Medical,1,Female,2,3,4,Married,10248,No,24,3,22,6,5,17,7
46,0,Travel_Rarely,Sales,Marketing,2,Female,3,5,1,Single,18947,No,22,2,2,2,2,1,2
33,0,Travel_Rarely,Research & Development,Medical,3,Male,3,1,4,Single,2496,No,7,3,1,1,0,0,2
44,0,Travel_Rarely,Research & Development,Other,4,Male,3,2,4,Married,6465,Yes,9,4,4,2,1,3,10
30,0,Travel_Rarely,Research & Development,Medical,4,Male,2,1,3,Single,2206,No,10,3,10,0,1,8,9
